year,destination,inflow,outflow,net_migration,state,unemployment_rate
2018,Louisiana,81355,95326,-13971,Louisiana,4.8
2018,Maine,34706,25012,9694,Maine,3.2
2018,Maryland,163216,182323,-19107,Maryland,3.8
2018,Massachusetts,144042,179017,-34975,Massachusetts,3.5
2018,Michigan,139276,152605,-13329,Michigan,4.2
2018,Minnesota,100270,112228,-11958,Minnesota,3.0
2018,Mississippi,68000,76567,-8567,Mississippi,4.9
2018,Missouri,152326,174949,-22623,Missouri,3.2
2018,Montana,43375,35292,8083,Montana,3.7
2018,Nebraska,54579,54462,117,Nebraska,2.9
2018,Nevada,127362,89791,37571,Nevada,4.4
2018,New Hampshire,48367,43633,4734,New Hampshire,2.6
2018,New Jersey,159846,231321,-71475,New Jersey,4.0
2018,New Mexico,60068,74459,-14391,New Mexico,4.9
2018,New York,254447,458014,-203567,New York,4.1
2018,North Carolina,318681,238947,79734,North Carolina,4.0
2018,North Dakota,33735,33006,729,North Dakota,2.4
2018,Ohio,198026,206948,-8922,Ohio,4.5
2018,Oklahoma,106943,97474,9469,Oklahoma,3.3
2018,Oregon,140627,132698,7929,Oregon,4.0
2018,Pennsylvania,253520,240832,12688,Pennsylvania,4.4
2018,Rhode Island,32841,31423,1418,Rhode Island,4.0
2018,South Carolina,186505,141258,45247,South Carolina,3.4
2018,South Dakota,26775,28747,-1972,South Dakota,2.8
2018,Tennessee,209377,173250,36127,Tennessee,3.5
2018,Texas,563945,462140,101805,Texas,3.9
2018,Utah,100824,91741,9083,Utah,2.9
2018,Vermont,26306,20832,5474,Vermont,2.5
2018,Virginia,274003,262345,11658,Virginia,3.0
2018,Washington,260906,222472,38434,Washington,4.4
2018,West Virginia,43841,46546,-2705,West Virginia,5.1
2018,Wisconsin,114613,105789,8824,Wisconsin,3.0
2018,Wyoming,25734,26078,-344,Wyoming,4.1
2019,Alabama,104780,98704,6076,Alabama,3.2
2019,Alaska,34031,50134,-16103,Alaska,5.6
2019,Arizona,253295,173631,79664,Arizona,4.8
2019,Arkansas,59723,64524,-4801,Arkansas,3.5
2019,California,480204,653551,-173347,California,4.1
2019,Colorado,240600,198416,42184,Colorado,2.7
2019,Connecticut,90044,105243,-15199,Connecticut,3.6
2019,Delaware,38014,28367,9647,Delaware,3.6
2019,District of Columbia,58879,52084,6795,District of Columbia,5.5
2019,Florida,601611,457301,144310,Florida,3.2
2019,Georgia,284541,253565,30976,Georgia,3.6
2019,Hawaii,49708,68417,-18709,Hawaii,2.5
2019,Idaho,78730,54826,23904,Idaho,2.9
2019,Illinois,190627,308179,-117552,Illinois,4.0
2019,Indiana,151443,142441,9002,Indiana,3.3
2019,Iowa,72651,74697,-2046,Iowa,2.7
2019,Kansas,94648,88983,5665,Kansas,3.2
2019,Kentucky,100057,101061,-1004,Kentucky,4.1
2019,Louisiana,67640,95887,-28247,Louisiana,4.6
2019,Maine,36129,38267,-2138,Maine,2.9
2019,Maryland,141766,183299,-41533,Maryland,3.4
2019,Massachusetts,144079,178104,-34025,Massachusetts,3.0
2019,Michigan,132008,152365,-20357,Michigan,4.1
2019,Minnesota,106920,114258,-7338,Minnesota,3.3
2019,Mississippi,61683,60094,1589,Mississippi,5.5
2019,Missouri,152345,135762,16583,Missouri,3.2
2019,Montana,40862,39242,1620,Montana,3.5
2019,Nebraska,46064,52425,-6361,Nebraska,3.1
2019,Nevada,132950,105357,27593,Nevada,4.1
2019,New Hampshire,50288,42162,8126,New Hampshire,2.6
2019,New Jersey,149260,229484,-80224,New Jersey,3.5
2019,New Mexico,55545,71212,-15667,New Mexico,5.0
2019,New York,254806,439708,-184902,New York,3.9
2019,North Carolina,315215,255346,59869,North Carolina,3.9
2019,North Dakota,36668,29871,6797,North Dakota,2.2
2019,Ohio,205542,192506,13036,Ohio,4.1
2019,Oklahoma,101844,85599,16245,Oklahoma,3.1
2019,Oregon,129921,115723,14198,Oregon,3.7
2019,Pennsylvania,267465,256901,10564,Pennsylvania,4.3
2019,Rhode Island,34984,31137,3847,Rhode Island,3.5
2019,South Carolina,176008,129227,46781,South Carolina,2.8
2019,South Dakota,26934,27542,-608,South Dakota,2.7
2019,Tennessee,196765,156558,40207,Tennessee,3.3
2019,Texas,559661,453015,106646,Texas,3.5
2019,Utah,95608,88426,7182,Utah,2.5
2019,Vermont,21212,22714,-1502,Vermont,2.1
2019,Virginia,264855,276849,-11994,Virginia,2.8
2019,Washington,231956,199758,32198,Washington,4.2
2019,West Virginia,39548,40460,-912,West Virginia,4.9
2019,Wisconsin,107973,101668,6305,Wisconsin,3.2
2019,Wyoming,30247,23287,6960,Wyoming,3.7
2021,Alabama,115641,104481,11160,Alabama,3.4
2021,Alaska,31378,42291,-10913,Alaska,6.4
2021,Arizona,264948,176783,88165,Arizona,5.0
2021,Arkansas,76108,62338,13770,Arkansas,4.0
2021,California,433402,841065,-407663,California,7.3
2021,Colorado,250031,246177,3854,Colorado,5.5
2021,Connecticut,106618,96578,10040,Connecticut,6.4
2021,Delaware,42551,36471,6080,Delaware,5.5
2021,District of Columbia,57746,62622,-4876,District of Columbia,6.8
2021,Florida,674740,469577,205163,Florida,4.7
2021,Georgia,302512,238445,64067,Georgia,3.9
2021,Hawaii,71626,59236,12390,Hawaii,6.0
2021,Idaho,96388,57073,39315,Idaho,3.6
2021,Illinois,195177,341425,-146248,Illinois,6.1
2021,Indiana,156417,145489,10928,Indiana,3.9
2021,Iowa,77245,72943,4302,Iowa,3.9
2021,Kansas,102319,86141,16178,Kansas,3.4
2021,Kentucky,107693,92939,14754,Kentucky,4.4
2021,Louisiana,81944,103318,-21374,Louisiana,5.6
2021,Maine,43492,18886,24606,Maine,4.7
2021,Maryland,160016,185657,-25641,Maryland,5.2
2021,Massachusetts,158311,209750,-51439,Massachusetts,5.3
2021,Michigan,143042,157838,-14796,Michigan,5.7
2021,Minnesota,93286,140559,-47273,Minnesota,3.7
2021,Mississippi,59759,57113,2646,Mississippi,5.4
2021,Missouri,165921,147737,18184,Missouri,4.1
2021,Montana,44531,30360,14171,Montana,3.4
2021,Nebraska,43287,53116,-9829,Nebraska,2.7
2021,Nevada,132648,92184,40464,Nevada,6.8
2021,New Hampshire,53245,44326,8919,New Hampshire,3.5
2021,New Jersey,195828,245729,-49901,New Jersey,6.7
2021,New Mexico,68019,57585,10434,New Mexico,7.1
2021,New York,287249,571041,-283792,New York,7.1
2021,North Carolina,336681,237275,99406,North Carolina,4.8
2021,North Dakota,37844,31390,6454,North Dakota,3.1
2021,Ohio,184477,189534,-5057,Ohio,5.3
2021,Oklahoma,108288,71218,37070,Oklahoma,4.0
2021,Oregon,133935,125363,8572,Oregon,5.2
2021,Pennsylvania,261831,259752,2079,Pennsylvania,5.9
2021,Rhode Island,43266,32047,11219,Rhode Island,5.6
2021,South Carolina,196200,116932,79268,South Carolina,3.9
2021,South Dakota,27528,25910,1618,South Dakota,2.6
2021,Tennessee,220591,150886,69705,Tennessee,4.5
2021,Texas,591395,447363,144032,Texas,5.6
2021,Utah,101051,78976,22075,Utah,2.8
2021,Vermont,31809,17261,14548,Vermont,3.5
2021,Virginia,272693,275906,-3213,Virginia,3.9
2021,Washington,225306,269232,-43926,Washington,5.2
2021,West Virginia,43801,36026,7775,West Virginia,5.1
2021,Wisconsin,122742,112329,10413,Wisconsin,3.8
2021,Wyoming,27281,35164,-7883,Wyoming,4.5
2022,Alabama,139263,102894,36369,Alabama,2.5
2022,Alaska,36563,32755,3808,Alaska,4.4
2022,Arizona,282729,204734,77995,Arizona,3.8
2022,Arkansas,86375,74408,11967,Arkansas,3.2
2022,California,475803,817669,-341866,California,4.3
2022,Colorado,229876,239200,-9324,Colorado,3.1
2022,Connecticut,145315,88733,56582,Connecticut,4.0
2022,Delaware,46162,33691,12471,Delaware,4.2
2022,District of Columbia,64506,67904,-3398,District of Columbia,4.7
2022,Florida,738969,489905,249064,Florida,3.0
2022,Georgia,327795,253275,74520,Georgia,3.1
2022,Hawaii,56209,67257,-11048,Hawaii,3.2
2022,Idaho,87949,70542,17407,Idaho,2.9
2022,Illinois,228308,344027,-115719,Illinois,4.6
2022,Indiana,149331,137624,11707,Indiana,3.1
2022,Iowa,72231,70359,1872,Iowa,2.9
2022,Kansas,94208,84558,9650,Kansas,2.8
2022,Kentucky,113197,88556,24641,Kentucky,4.0
2022,Louisiana,75330,105897,-30567,Louisiana,3.7
2022,Maine,41618,34659,6959,Maine,2.8
2022,Maryland,139784,205406,-65622,Maryland,3.0
2022,Massachusetts,171077,214644,-43567,Massachusetts,3.7
2022,Michigan,157955,167885,-9930,Michigan,4.2
