destination,origin,flow,year
Washington,Idaho,10557,2022
West Virginia,Idaho,0,2022
Wisconsin,Idaho,784,2022
Wyoming,Idaho,1528,2022
Alabama,Illinois,4328,2022
Alaska,Illinois,130,2022
Arizona,Illinois,10623,2022
Arkansas,Illinois,2383,2022
California,Illinois,24559,2022
Colorado,Illinois,9281,2022
Connecticut,Illinois,3290,2022
Delaware,Illinois,1256,2022
District of Columbia,Illinois,2548,2022
Florida,Illinois,35262,2022
Georgia,Illinois,11096,2022
Hawaii,Illinois,1133,2022
Idaho,Illinois,314,2022
Indiana,Illinois,31015,2022
Iowa,Illinois,16504,2022
Kansas,Illinois,2766,2022
Kentucky,Illinois,6821,2022
Louisiana,Illinois,1223,2022
Maine,Illinois,517,2022
Maryland,Illinois,3134,2022
Massachusetts,Illinois,4060,2022
Michigan,Illinois,10942,2022
Minnesota,Illinois,7131,2022
Mississippi,Illinois,847,2022
Missouri,Illinois,20646,2022
Montana,Illinois,617,2022
Nebraska,Illinois,1295,2022
Nevada,Illinois,3845,2022
New Hampshire,Illinois,412,2022
New Jersey,Illinois,2484,2022
New Mexico,Illinois,1261,2022
New York,Illinois,8679,2022
North Carolina,Illinois,7931,2022
North Dakota,Illinois,458,2022
Ohio,Illinois,8652,2022
Oklahoma,Illinois,3052,2022
Oregon,Illinois,3266,2022
Pennsylvania,Illinois,5659,2022
Rhode Island,Illinois,355,2022
South Carolina,Illinois,5342,2022
South Dakota,Illinois,29,2022
Tennessee,Illinois,12602,2022
Texas,Illinois,25272,2022
Utah,Illinois,1456,2022
Vermont,Illinois,404,2022
Virginia,Illinois,5881,2022
Washington,Illinois,4772,2022
West Virginia,Illinois,806,2022
Wisconsin,Illinois,27369,2022
Wyoming,Illinois,319,2022
Alabama,Indiana,1693,2022
Alaska,Indiana,296,2022
Arizona,Indiana,3759,2022
Arkansas,Indiana,1330,2022
California,Indiana,5422,2022
Colorado,Indiana,2455,2022
Connecticut,Indiana,674,2022
Delaware,Indiana,153,2022
District of Columbia,Indiana,253,2022
Florida,Indiana,11790,2022
Georgia,Indiana,4937,2022
Hawaii,Indiana,229,2022
Idaho,Indiana,6,2022
Illinois,Indiana,13792,2022
Iowa,Indiana,402,2022
Kansas,Indiana,2828,2022
Kentucky,Indiana,12947,2022
Louisiana,Indiana,266,2022
Maine,Indiana,9,2022
Maryland,Indiana,713,2022
Massachusetts,Indiana,1616,2022
Michigan,Indiana,9723,2022
Minnesota,Indiana,3276,2022
Mississippi,Indiana,872,2022
Missouri,Indiana,3411,2022
Montana,Indiana,693,2022
Nebraska,Indiana,147,2022
Nevada,Indiana,1436,2022
New Hampshire,Indiana,249,2022
New Jersey,Indiana,2710,2022
New Mexico,Indiana,0,2022
New York,Indiana,2426,2022
North Carolina,Indiana,4829,2022
North Dakota,Indiana,324,2022
Ohio,Indiana,12230,2022
Oklahoma,Indiana,449,2022
Oregon,Indiana,642,2022
Pennsylvania,Indiana,1498,2022
Rhode Island,Indiana,0,2022
South Carolina,Indiana,3136,2022
South Dakota,Indiana,29,2022
Tennessee,Indiana,4067,2022
Texas,Indiana,10167,2022
Utah,Indiana,111,2022
Vermont,Indiana,219,2022
Virginia,Indiana,4800,2022
Washington,Indiana,1118,2022
West Virginia,Indiana,1159,2022
Wisconsin,Indiana,2299,2022
Wyoming,Indiana,34,2022
Alabama,Iowa,363,2022
Alaska,Iowa,108,2022
Arizona,Iowa,3228,2022
Arkansas,Iowa,460,2022
California,Iowa,2187,2022
Colorado,Iowa,2212,2022
Connecticut,Iowa,167,2022
Delaware,Iowa,0,2022
District of Columbia,Iowa,49,2022
Florida,Iowa,2163,2022
Georgia,Iowa,530,2022
Hawaii,Iowa,40,2022
Idaho,Iowa,218,2022
Illinois,Iowa,8532,2022
Indiana,Iowa,1364,2022
Kansas,Iowa,2134,2022
Kentucky,Iowa,497,2022
Louisiana,Iowa,108,2022
Maine,Iowa,6,2022
Maryland,Iowa,81,2022
Massachusetts,Iowa,316,2022
Michigan,Iowa,784,2022
Minnesota,Iowa,4403,2022
Mississippi,Iowa,132,2022
Missouri,Iowa,6473,2022
Montana,Iowa,392,2022
Nebraska,Iowa,5960,2022
Nevada,Iowa,1631,2022
New Hampshire,Iowa,130,2022
New Jersey,Iowa,165,2022
New Mexico,Iowa,1343,2022
New York,Iowa,1788,2022
North Carolina,Iowa,1567,2022
North Dakota,Iowa,478,2022
Ohio,Iowa,1380,2022
Oklahoma,Iowa,380,2022
Oregon,Iowa,978,2022
Pennsylvania,Iowa,1051,2022
Rhode Island,Iowa,210,2022
South Carolina,Iowa,973,2022
South Dakota,Iowa,2939,2022
Tennessee,Iowa,332,2022
Texas,Iowa,7080,2022
Utah,Iowa,60,2022
Vermont,Iowa,333,2022
Virginia,Iowa,792,2022
Washington,Iowa,1512,2022
West Virginia,Iowa,0,2022
Wisconsin,Iowa,2188,2022
Wyoming,Iowa,142,2022
Alabama,Kansas,1403,2022
Alaska,Kansas,352,2022
Arizona,Kansas,1240,2022
Arkansas,Kansas,1184,2022
California,Kansas,3387,2022
Colorado,Kansas,3363,2022
Connecticut,Kansas,0,2022
Delaware,Kansas,77,2022
District of Columbia,Kansas,136,2022
Florida,Kansas,5111,2022
Georgia,Kansas,1862,2022
Hawaii,Kansas,254,2022
Idaho,Kansas,1482,2022
Illinois,Kansas,2072,2022
Indiana,Kansas,823,2022
Iowa,Kansas,780,2022
Kentucky,Kansas,435,2022
Louisiana,Kansas,159,2022
Maine,Kansas,77,2022
Maryland,Kansas,569,2022
Massachusetts,Kansas,44,2022
Michigan,Kansas,3274,2022
Minnesota,Kansas,1105,2022
Mississippi,Kansas,567,2022
Missouri,Kansas,22333,2022
Montana,Kansas,57,2022
Nebraska,Kansas,2912,2022
Nevada,Kansas,234,2022
New Hampshire,Kansas,0,2022
New Jersey,Kansas,54,2022
New Mexico,Kansas,423,2022
New York,Kansas,2097,2022
North Carolina,Kansas,2392,2022
North Dakota,Kansas,78,2022
Ohio,Kansas,960,2022
Oklahoma,Kansas,7440,2022
Oregon,Kansas,562,2022
Pennsylvania,Kansas,63,2022
Rhode Island,Kansas,0,2022
South Carolina,Kansas,914,2022
South Dakota,Kansas,438,2022
Tennessee,Kansas,744,2022
Texas,Kansas,8257,2022
Utah,Kansas,247,2022
Vermont,Kansas,0,2022
Virginia,Kansas,3130,2022
Washington,Kansas,1161,2022
West Virginia,Kansas,170,2022
Wisconsin,Kansas,136,2022
Wyoming,Kansas,0,2022
Alabama,Kentucky,2892,2022
Alaska,Kentucky,73,2022
Arizona,Kentucky,2143,2022
Arkansas,Kentucky,2581,2022
California,Kentucky,3471,2022
Colorado,Kentucky,1413,2022
Connecticut,Kentucky,563,2022
Delaware,Kentucky,58,2022
District of Columbia,Kentucky,79,2022
Florida,Kentucky,8141,2022
Georgia,Kentucky,1941,2022
Hawaii,Kentucky,820,2022
Idaho,Kentucky,0,2022
Illinois,Kentucky,4087,2022
Indiana,Kentucky,9350,2022
Iowa,Kentucky,356,2022
Kansas,Kentucky,811,2022
Louisiana,Kentucky,685,2022
Maine,Kentucky,85,2022
Maryland,Kentucky,254,2022
Massachusetts,Kentucky,499,2022
Michigan,Kentucky,2067,2022
