Table with row labels in columns A and B and column labels headers in rows 5 through 8.,,,
Table 1. State-to-State Migration Flows1: 2024 American Community Survey 1-Year Estimates,,,
Universe: Population 1 year and over,,,
,,,
Current residence,Residence 1 year ago2,Movers to current residence from residence 1 year ago,
,,,
,,,
,,Estimate,Margin of error3 (±)
Colorado,Virginia,"8,039","4,554"
Colorado,Washington,"6,188","1,802"
Colorado,West Virginia,389,419
Colorado,Wisconsin,"2,273",995
Colorado,Wyoming,"1,491",645
Colorado,Puerto Rico,0,224
Colorado,U.S. Island Areas,792,500
Colorado,Foreign country,"39,968","7,091"
Connecticut,Alabama,801,945
Connecticut,Alaska,N,N
Connecticut,Arizona,N,N
Connecticut,Arkansas,0,225
Connecticut,California,"4,237","2,318"
Connecticut,Colorado,758,501
Connecticut,Connecticut,X,X
Connecticut,Delaware,0,225
Connecticut,District of Columbia ,N,N
Connecticut,Florida,"6,040","2,007"
Connecticut,Georgia,"2,684",948
Connecticut,Hawaii,396,465
Connecticut,Idaho,0,225
Connecticut,Illinois,"1,044",483
Connecticut,Indiana,801,721
Connecticut,Iowa,309,375
Connecticut,Kansas,366,367
Connecticut,Kentucky,319,381
Connecticut,Louisiana,N,N
Connecticut,Maine,671,479
Connecticut,Maryland,353,291
Connecticut,Massachusetts,"11,612","2,586"
Connecticut,Michigan,230,249
Connecticut,Minnesota,127,141
Connecticut,Mississippi,N,N
Connecticut,Missouri,806,"1,060"
Connecticut,Montana,0,225
Connecticut,Nebraska,N,N
Connecticut,Nevada,893,816
Connecticut,New Hampshire,"3,295","1,250"
Connecticut,New Jersey,"5,628","1,617"
Connecticut,New Mexico,0,225
Connecticut,New York,"25,095","4,459"
Connecticut,North Carolina,"2,597","1,468"
Connecticut,North Dakota,0,225
Connecticut,Ohio,"1,491",655
Connecticut,Oklahoma,N,N
Connecticut,Oregon,823,386
Connecticut,Pennsylvania,"2,175",835
Connecticut,Rhode Island,"2,143",790
Connecticut,South Carolina,"1,027",603
Connecticut,South Dakota,0,225
Connecticut,Tennessee,606,506
Connecticut,Texas,"1,462",627
